dead_zone,vol_target,sharpe,annual_ret,total_ret,max_dd,dd_start,dd_end,dd_recovery,sortino,win_rate,profit_factor,cash_pct,trade_freq,final_equity,qqq_return,vs_qqq
"0.45-0.55 (10pt, current)",None,1.1848,0.5523,12.9652,-0.5518,2021-11-18,2022-02-16,2022-07-26,1.6754,0.5312,1.2748,0.0,1.0,708211.2,1.8364173978994063,11.128782602100593
"0.45-0.55 (10pt, current)",1.0x,1.1783,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,1.8505,0.5312,1.2711,0.0,1.0,290835.6,1.8364173978994063,2.9391826021005936
"0.45-0.55 (10pt, current)",1.5x,1.1783,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,1.8505,0.5312,1.2711,0.0,1.0,290835.6,1.8364173978994063,2.9391826021005936
"0.45-0.55 (10pt, current)",2.0x (current),1.1612,0.4924,10.0307,-0.5104,2021-11-18,2022-02-16,2022-06-24,1.6379,0.5312,1.2671,0.0,1.0,559394.82,1.8364173978994063,8.194282602100593
"0.45-0.55 (10pt, current)",2.5x,1.1612,0.4924,10.0307,-0.5104,2021-11-18,2022-02-16,2022-06-24,1.6379,0.5312,1.2671,0.0,1.0,559394.82,1.8364173978994063,8.194282602100593
"0.45-0.55 (10pt, current)",3.0x,1.1848,0.5523,12.9652,-0.5518,2021-11-18,2022-02-16,2022-07-26,1.6754,0.5312,1.2748,0.0,1.0,708211.2,1.8364173978994063,11.128782602100593
0.40-0.60 (20pt),None,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.40-0.60 (20pt),1.0x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.40-0.60 (20pt),1.5x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.40-0.60 (20pt),2.0x (current),0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.40-0.60 (20pt),2.5x,0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.40-0.60 (20pt),3.0x,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.38-0.62 (24pt),None,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.38-0.62 (24pt),1.0x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.38-0.62 (24pt),1.5x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.38-0.62 (24pt),2.0x (current),0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.38-0.62 (24pt),2.5x,0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.38-0.62 (24pt),3.0x,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.35-0.65 (30pt),None,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.35-0.65 (30pt),1.0x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.35-0.65 (30pt),1.5x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.35-0.65 (30pt),2.0x (current),0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.35-0.65 (30pt),2.5x,0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.35-0.65 (30pt),3.0x,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.32-0.68 (36pt),None,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.32-0.68 (36pt),1.0x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.32-0.68 (36pt),1.5x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.32-0.68 (36pt),2.0x (current),0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.32-0.68 (36pt),2.5x,0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.32-0.68 (36pt),3.0x,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.30-0.70 (40pt),None,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
0.30-0.70 (40pt),1.0x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.30-0.70 (40pt),1.5x,0.6735,0.1432,1.2313,-0.2793,2021-10-18,2022-02-16,2022-09-12,0.9379,0.5513,1.2665,52.851458885941646,0.4715,112361.15,1.8364173978994063,-0.6051173978994062
0.30-0.70 (40pt),2.0x (current),0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.30-0.70 (40pt),2.5x,0.797,0.2024,2.0193,-0.3384,2021-10-18,2022-02-16,2022-07-28,1.1486,0.5513,1.2942,52.851458885941646,0.4715,152038.1,1.8364173978994063,0.1828826021005936
0.30-0.70 (40pt),3.0x,0.8272,0.2169,2.2446,-0.3465,2021-10-18,2022-02-16,2022-07-26,1.2131,0.5513,1.3067,52.851458885941646,0.4715,163383.61,1.8364173978994063,0.40818260210059387
