accuracy,precision,recall,f1_score,total_return,annual_return,sharpe_ratio,profit_factor,max_drawdown,win_rate,n_days,n_years,k,metric,weights
0.5325,0.5697,0.669,0.6154,1.7907,0.1871,0.6456,1.1563,-0.4875,0.5325,1508,6.0,7,manhattan,uniform
0.5351,0.5713,0.675,0.6188,1.7274,0.1825,0.6305,1.1532,-0.596,0.5351,1508,6.0,7,minkowski,uniform
0.5351,0.5713,0.675,0.6188,1.7274,0.1825,0.6305,1.1532,-0.596,0.5351,1508,6.0,7,euclidean,uniform
0.5491,0.5786,0.7117,0.6383,1.7224,0.1822,0.6295,1.1529,-0.5615,0.5491,1508,6.0,10,minkowski,distance
0.5491,0.5786,0.7117,0.6383,1.7224,0.1822,0.6295,1.1529,-0.5615,0.5491,1508,6.0,10,euclidean,distance
0.5285,0.5748,0.6014,0.5878,1.4306,0.16,0.5544,1.1374,-0.4531,0.5285,1508,6.0,10,euclidean,uniform
0.5285,0.5748,0.6014,0.5878,1.4306,0.16,0.5544,1.1374,-0.4531,0.5285,1508,6.0,10,minkowski,uniform
0.5325,0.5719,0.6512,0.609,1.1902,0.14,0.4856,1.1233,-0.4989,0.5325,1508,6.0,5,euclidean,uniform
0.5325,0.5719,0.6512,0.609,1.1902,0.14,0.4856,1.1233,-0.4989,0.5325,1508,6.0,5,minkowski,uniform
0.5318,0.5701,0.6607,0.6121,1.1463,0.1361,0.472,1.1206,-0.519,0.5318,1508,6.0,5,manhattan,uniform
0.5391,0.5675,0.7378,0.6416,1.0099,0.1237,0.4289,1.1118,-0.5183,0.5391,1508,6.0,30,minkowski,uniform
0.5391,0.5675,0.7378,0.6416,1.0099,0.1237,0.4289,1.1118,-0.5183,0.5391,1508,6.0,30,euclidean,uniform
0.5312,0.5691,0.6643,0.613,0.994,0.1222,0.4235,1.1108,-0.5682,0.5312,1508,6.0,7,manhattan,distance
0.5411,0.564,0.7888,0.6578,0.8776,0.111,0.3841,1.1029,-0.4168,0.5411,1508,6.0,30,manhattan,distance
0.5265,0.5604,0.7094,0.6262,0.832,0.1065,0.3677,1.0996,-0.5015,0.5265,1508,6.0,15,manhattan,uniform
0.5365,0.5674,0.7189,0.6342,0.7086,0.0936,0.3225,1.0907,-0.6,0.5365,1508,6.0,15,minkowski,uniform
0.5365,0.5674,0.7189,0.6342,0.7086,0.0936,0.3225,1.0907,-0.6,0.5365,1508,6.0,15,euclidean,uniform
0.5245,0.56,0.6975,0.6212,0.6296,0.085,0.2904,1.0844,-0.5048,0.5245,1508,6.0,15,manhattan,distance
0.5153,0.5559,0.6607,0.6038,0.5566,0.0768,0.2602,1.0785,-0.5675,0.5153,1508,6.0,20,manhattan,uniform
0.5265,0.5656,0.6595,0.609,0.5317,0.0738,0.2494,1.0764,-0.6852,0.5265,1508,6.0,7,minkowski,distance
0.5265,0.5656,0.6595,0.609,0.5317,0.0738,0.2494,1.0764,-0.6852,0.5265,1508,6.0,7,euclidean,distance
0.5212,0.5638,0.6346,0.5971,0.4041,0.0584,0.1922,1.0653,-0.557,0.5212,1508,6.0,5,minkowski,distance
0.5212,0.5638,0.6346,0.5971,0.4041,0.0584,0.1922,1.0653,-0.557,0.5212,1508,6.0,5,euclidean,distance
0.5225,0.5628,0.6536,0.6048,0.403,0.0582,0.1914,1.0651,-0.6454,0.5225,1508,6.0,5,manhattan,distance
0.5086,0.5557,0.6038,0.5787,0.314,0.0467,0.1477,1.0568,-0.6071,0.5086,1508,6.0,3,manhattan,uniform
0.5252,0.5597,0.7058,0.6243,0.2965,0.0443,0.1395,1.0552,-0.6808,0.5252,1508,6.0,15,euclidean,distance
0.5252,0.5597,0.7058,0.6243,0.2965,0.0443,0.1395,1.0552,-0.6808,0.5252,1508,6.0,15,minkowski,distance
0.5312,0.5668,0.6845,0.6201,0.2612,0.0395,0.1214,1.0517,-0.6704,0.5312,1508,6.0,10,manhattan,distance
0.5391,0.5642,0.7711,0.6516,0.2547,0.0386,0.118,1.0511,-0.6311,0.5391,1508,6.0,30,minkowski,distance
0.5391,0.5642,0.7711,0.6516,0.2547,0.0386,0.118,1.0511,-0.6311,0.5391,1508,6.0,30,euclidean,distance
0.5279,0.5656,0.6702,0.6135,0.2496,0.0379,0.1153,1.0506,-0.6449,0.5279,1508,6.0,20,minkowski,uniform
0.5279,0.5656,0.6702,0.6135,0.2496,0.0379,0.1153,1.0506,-0.6449,0.5279,1508,6.0,20,euclidean,uniform
0.5332,0.5637,0.7295,0.636,0.192,0.0298,0.0842,1.0447,-0.68,0.5332,1508,6.0,20,minkowski,distance
0.5332,0.5637,0.7295,0.636,0.192,0.0298,0.0842,1.0447,-0.68,0.5332,1508,6.0,20,euclidean,distance
0.5298,0.5612,0.7284,0.634,0.1255,0.02,0.0469,1.0377,-0.5047,0.5298,1508,6.0,30,manhattan,uniform
0.5385,0.5595,0.8197,0.6651,0.1135,0.0181,0.0393,1.0363,-0.6027,0.5385,1508,6.0,50,euclidean,distance
0.5385,0.5595,0.8197,0.6651,0.1135,0.0181,0.0393,1.0363,-0.6027,0.5385,1508,6.0,50,minkowski,distance
0.5225,0.5561,0.7236,0.6289,0.0985,0.0158,0.0302,1.0346,-0.6709,0.5225,1508,6.0,20,manhattan,distance
0.5106,0.5559,0.6192,0.5859,0.0399,0.0066,-0.0064,1.0278,-0.6477,0.5106,1508,6.0,3,minkowski,uniform
0.5106,0.5559,0.6192,0.5859,0.0399,0.0066,-0.0064,1.0278,-0.6477,0.5106,1508,6.0,3,euclidean,uniform
0.5066,0.5542,0.6002,0.5763,0.0178,0.003,-0.0207,1.0251,-0.6685,0.5066,1508,6.0,3,manhattan,distance
0.5099,0.5557,0.6157,0.5841,-0.0018,-0.0003,-0.0335,1.0227,-0.673,0.5099,1508,6.0,3,euclidean,distance
0.5099,0.5557,0.6157,0.5841,-0.0018,-0.0003,-0.0335,1.0227,-0.673,0.5099,1508,6.0,3,minkowski,distance
0.5332,0.5581,0.7924,0.6549,-0.079,-0.0137,-0.0854,1.0132,-0.6405,0.5332,1508,6.0,50,euclidean,uniform
0.5332,0.5581,0.7924,0.6549,-0.079,-0.0137,-0.0854,1.0132,-0.6405,0.5332,1508,6.0,50,minkowski,uniform
0.5126,0.5625,0.5765,0.5694,-0.2501,-0.047,-0.2214,0.9886,-0.6607,0.5126,1508,6.0,10,manhattan,uniform
0.5292,0.5553,0.7924,0.653,-0.3121,-0.0606,-0.2776,0.9786,-0.6782,0.5292,1508,6.0,50,manhattan,uniform
0.5265,0.5518,0.8149,0.658,-0.4162,-0.086,-0.3859,0.9597,-0.7433,0.5265,1508,6.0,50,manhattan,distance
