bull_threshold,bear_threshold,max_position_pct,scaling,sharpe_ratio,annual_return,total_return,max_drawdown,sortino_ratio,win_rate,profit_factor,trade_frequency
0.52,0.48,0.25,linear,0.4794,0.0699,0.4991,-0.1117,0.6446,0.5066,1.2831,1.0
0.52,0.48,0.25,quadratic,-0.1239,0.0352,0.2305,-0.0613,-0.1886,0.4344,1.3229,1.0
0.52,0.48,0.25,step,0.7274,0.1023,0.7934,-0.1464,1.0094,0.5166,1.2724,1.0
0.52,0.48,0.33,linear,0.6508,0.0938,0.7121,-0.1461,0.8723,0.5119,1.2847,1.0
0.52,0.48,0.33,quadratic,0.1892,0.0493,0.3343,-0.0793,0.2841,0.4436,1.3364,1.0
0.52,0.48,0.33,step,0.8311,0.1346,1.1317,-0.1917,1.1566,0.5179,1.2674,1.0
0.52,0.48,0.5,linear,0.8095,0.1425,1.2232,-0.217,1.0797,0.5159,1.2792,1.0
0.52,0.48,0.5,quadratic,0.4972,0.0776,0.5656,-0.1206,0.7298,0.4549,1.3451,1.0
0.52,0.48,0.5,step,0.9537,0.206,2.075,-0.2752,1.3302,0.5199,1.2662,1.0
0.52,0.48,0.75,linear,0.9105,0.212,2.1673,-0.3086,1.2083,0.5186,1.2759,1.0
0.52,0.48,0.75,quadratic,0.6418,0.1127,0.8968,-0.1767,0.9157,0.4635,1.3301,1.0
0.52,0.48,0.75,step,1.0265,0.3082,4.0068,-0.3873,1.4328,0.5225,1.2629,1.0
0.52,0.48,1.0,linear,0.9885,0.2914,3.6336,-0.3918,1.3138,0.5212,1.2817,1.0
0.52,0.48,1.0,quadratic,0.7362,0.1511,1.3253,-0.2293,1.0363,0.4721,1.3311,1.0
0.52,0.48,1.0,step,1.1559,0.4592,8.6381,-0.4829,1.6205,0.5305,1.2834,1.0
0.55,0.44999999999999996,0.25,linear,0.3779,0.0615,0.4306,-0.104,0.5166,0.4649,1.3036,1.0
0.55,0.44999999999999996,0.25,quadratic,-0.2313,0.0317,0.2058,-0.0538,-0.363,0.3607,1.3355,1.0
0.55,0.44999999999999996,0.25,step,0.7274,0.1023,0.7934,-0.1464,1.0094,0.5166,1.2724,1.0
0.55,0.44999999999999996,0.33,linear,0.531,0.0801,0.5876,-0.1344,0.7167,0.4788,1.2944,1.0
0.55,0.44999999999999996,0.33,quadratic,0.1057,0.0447,0.3,-0.0717,0.1657,0.4092,1.357,1.0
0.55,0.44999999999999996,0.33,step,0.8311,0.1346,1.1317,-0.1917,1.1566,0.5179,1.2674,1.0
0.55,0.44999999999999996,0.5,linear,0.6953,0.1201,0.9739,-0.2007,0.9141,0.5073,1.2846,1.0
0.55,0.44999999999999996,0.5,quadratic,0.4234,0.0697,0.4979,-0.1085,0.6583,0.4257,1.3613,1.0
0.55,0.44999999999999996,0.5,step,0.9537,0.206,2.075,-0.2752,1.3302,0.5199,1.2662,1.0
0.55,0.44999999999999996,0.75,linear,0.8269,0.1823,1.7291,-0.2865,1.0751,0.5146,1.2875,1.0
0.55,0.44999999999999996,0.75,quadratic,0.5701,0.0998,0.7685,-0.1608,0.8771,0.4337,1.3403,1.0
0.55,0.44999999999999996,0.75,step,1.0265,0.3082,4.0068,-0.3873,1.4328,0.5225,1.2629,1.0
0.55,0.44999999999999996,1.0,linear,0.9081,0.2495,2.8018,-0.3648,1.1751,0.5179,1.2934,1.0
0.55,0.44999999999999996,1.0,quadratic,0.675,0.1344,1.1305,-0.2097,1.0321,0.4436,1.3428,1.0
0.55,0.44999999999999996,1.0,step,1.1559,0.4592,8.6381,-0.4829,1.6205,0.5305,1.2834,1.0
0.58,0.42000000000000004,0.25,linear,0.2309,0.052,0.3553,-0.0957,0.3404,0.5471,1.3042,0.4715
0.58,0.42000000000000004,0.25,quadratic,-0.2949,0.0302,0.1951,-0.0485,-0.473,0.5246,1.3743,0.4715
0.58,0.42000000000000004,0.25,step,0.0507,0.042,0.28,-0.0765,0.0764,0.5443,1.3147,0.4715
0.58,0.42000000000000004,0.33,linear,0.4168,0.069,0.4917,-0.1246,0.6133,0.5471,1.3031,0.4715
0.58,0.42000000000000004,0.33,quadratic,-0.0174,0.039,0.2575,-0.0649,-0.0275,0.5345,1.3566,0.4715
0.58,0.42000000000000004,0.33,step,0.2793,0.0556,0.3829,-0.0997,0.4188,0.5471,1.312,0.4715
0.58,0.42000000000000004,0.5,linear,0.6022,0.1036,0.8061,-0.185,0.8856,0.5485,1.2975,0.4715
0.58,0.42000000000000004,0.5,quadratic,0.31,0.06,0.418,-0.098,0.4892,0.5415,1.3591,0.4715
0.58,0.42000000000000004,0.5,step,0.5617,0.0883,0.6609,-0.1494,0.8428,0.5485,1.3243,0.4715
0.58,0.42000000000000004,0.75,linear,0.7364,0.1566,1.3919,-0.2664,1.0815,0.5485,1.3004,0.4715
0.58,0.42000000000000004,0.75,quadratic,0.5078,0.0895,0.6716,-0.1472,0.7946,0.5485,1.3518,0.4715
0.58,0.42000000000000004,0.75,step,0.6703,0.1258,1.0353,-0.2172,1.0014,0.5485,1.3055,0.4715
0.58,0.42000000000000004,1.0,linear,0.8216,0.2124,2.1731,-0.3403,1.2066,0.5513,1.3071,0.4715
0.58,0.42000000000000004,1.0,quadratic,0.627,0.1215,0.9893,-0.191,0.9803,0.5485,1.3591,0.4715
0.58,0.42000000000000004,1.0,step,0.7643,0.1705,1.5705,-0.2792,1.1435,0.5485,1.3112,0.4715
0.6,0.4,0.25,linear,0.2002,0.0499,0.3389,-0.088,0.2972,0.5457,1.315,0.4715
0.6,0.4,0.25,quadratic,-0.4119,0.0269,0.1723,-0.0461,-0.6689,0.5091,1.3696,0.4715
0.6,0.4,0.25,step,0.0507,0.042,0.28,-0.0765,0.0764,0.5443,1.3147,0.4715
0.6,0.4,0.33,linear,0.3685,0.064,0.4509,-0.1168,0.5446,0.5471,1.3039,0.4715
0.6,0.4,0.33,quadratic,-0.0432,0.038,0.2503,-0.0602,-0.0695,0.5331,1.387,0.4715
0.6,0.4,0.33,step,0.2793,0.0556,0.3829,-0.0997,0.4188,0.5471,1.312,0.4715
0.6,0.4,0.5,linear,0.5883,0.0988,0.759,-0.1738,0.8702,0.5485,1.3059,0.4715
0.6,0.4,0.5,quadratic,0.2402,0.0546,0.3751,-0.0921,0.3819,0.5359,1.3641,0.4715
0.6,0.4,0.5,step,0.5617,0.0883,0.6609,-0.1494,0.8428,0.5485,1.3243,0.4715
0.6,0.4,0.75,linear,0.7218,0.1482,1.2902,-0.2498,1.066,0.5485,1.3053,0.4715
0.6,0.4,0.75,quadratic,0.4845,0.0851,0.6314,-0.1369,0.7663,0.5471,1.3728,0.4715
0.6,0.4,0.75,step,0.6703,0.1258,1.0353,-0.2172,1.0014,0.5485,1.3055,0.4715
0.6,0.4,1.0,linear,0.7806,0.1934,1.8866,-0.3206,1.1508,0.5499,1.3023,0.4715
0.6,0.4,1.0,quadratic,0.5867,0.1125,0.8945,-0.1799,0.9261,0.5485,1.3705,0.4715
0.6,0.4,1.0,step,0.7643,0.1705,1.5705,-0.2792,1.1435,0.5485,1.3112,0.4715
0.65,0.35,0.25,linear,0.0109,0.0403,0.2671,-0.0696,0.0167,0.5401,1.3323,0.4715
0.65,0.35,0.25,quadratic,-0.6133,0.0225,0.1426,-0.0359,-1.0454,0.4782,1.4261,0.4715
0.65,0.35,0.25,step,0.0507,0.042,0.28,-0.0765,0.0764,0.5443,1.3147,0.4715
0.65,0.35,0.33,linear,0.2532,0.0539,0.3703,-0.0912,0.3845,0.5457,1.3316,0.4715
0.65,0.35,0.33,quadratic,-0.2701,0.0296,0.1911,-0.0474,-0.4557,0.4909,1.4216,0.4715
0.65,0.35,0.33,step,0.2793,0.0556,0.3829,-0.0997,0.4188,0.5471,1.312,0.4715
0.65,0.35,0.5,linear,0.4824,0.0806,0.5917,-0.1365,0.7267,0.5485,1.3228,0.4715
0.65,0.35,0.5,quadratic,0.1103,0.0456,0.3064,-0.0738,0.1836,0.5063,1.4235,0.4715
0.65,0.35,0.5,step,0.5617,0.0883,0.6609,-0.1494,0.8428,0.5485,1.3243,0.4715
0.65,0.35,0.75,linear,0.6446,0.1215,0.9884,-0.1994,0.9707,0.5485,1.3238,0.4715
0.65,0.35,0.75,quadratic,0.3556,0.069,0.492,-0.1109,0.5817,0.5345,1.4173,0.4715
0.65,0.35,0.75,step,0.6703,0.1258,1.0353,-0.2172,1.0014,0.5485,1.3055,0.4715
0.65,0.35,1.0,linear,0.7261,0.1622,1.4622,-0.2568,1.0938,0.5485,1.3241,0.4715
0.65,0.35,1.0,quadratic,0.4642,0.0902,0.6788,-0.1457,0.7553,0.5373,1.4129,0.4715
0.65,0.35,1.0,step,0.7643,0.1705,1.5705,-0.2792,1.1435,0.5485,1.3112,0.4715
